,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Chabahar,IR,25.2919,60.643,72.07,65,1,2.33,clear sky
290,Grand Island,US,40.925,-98.342,51.24,44,0,18.41,clear sky
291,Zheleznodorozhnyy,RU,55.7503,38.0042,27.14,85,100,2.44,overcast clouds
292,Lethem,GY,3.3803,-59.7968,90.82,45,95,10.83,overcast clouds
293,Byron Bay,AU,-28.65,153.6167,72.05,95,95,4.99,overcast clouds
294,Maragogi,BR,-9.0122,-35.2225,81.32,73,15,8.3,few clouds
295,La Primavera,CO,5.4906,-70.4092,90.43,43,98,3.06,overcast clouds
296,Awbari,LY,26.5921,12.7805,63.99,30,100,18.63,overcast clouds
297,Kilcullen,IE,53.1303,-6.7444,44.17,85,98,10.36,overcast clouds
298,Wattegama,LK,6.7989,81.4808,73.04,80,100,2.28,overcast clouds
299,Tete,MZ,-16.1564,33.5867,80.69,69,20,5.75,few clouds
300,Dingle,PH,10.9995,122.6711,73.98,93,95,8.75,overcast clouds
301,Ushtobe,KZ,45.2514,77.9838,34.74,85,5,6.64,clear sky
302,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,70.54,93,100,3.87,overcast clouds
303,Gamba,GA,-2.65,10.0,79.63,87,74,5.3,light rain
304,Okmulgee,US,35.6234,-95.9605,81.86,14,0,12.66,clear sky
305,Hachinohe,JP,40.5,141.5,31.82,77,15,8.5,few clouds
306,Hofn,IS,64.2539,-15.2082,35.01,57,36,7.63,scattered clouds
307,Xining,CN,36.6167,101.7667,28.09,69,39,3.13,scattered clouds
308,Marana,US,32.4367,-111.2254,88.99,8,0,9.22,clear sky
309,Ancud,CL,-41.8697,-73.8203,60.33,57,72,11.99,broken clouds
310,Bandiagara,ML,14.3501,-3.6104,83.98,17,95,13.96,overcast clouds
311,Port Pirie,AU,-33.1833,138.0167,71.69,83,100,11.95,overcast clouds
312,Turku,FI,60.4515,22.2687,30.22,64,0,3.44,clear sky
313,Aklavik,CA,68.2191,-135.0107,9.43,72,75,5.75,broken clouds
314,Codrington,AU,-38.2667,141.9667,71.04,59,100,6.98,moderate rain
315,Sandane,NO,61.7728,6.215,40.3,60,0,2.3,clear sky
316,Saint Albans,GB,51.75,-0.3333,50.16,88,100,5.75,overcast clouds
317,Kijabe,KE,-0.933,36.5758,68.7,74,38,5.44,scattered clouds
318,Poya,NC,-21.35,165.15,79.48,79,81,0.96,broken clouds
319,Cap Malheureux,MU,-19.9842,57.6142,79.29,89,85,14.43,moderate rain
320,Namtsy,RU,62.7161,129.6658,-14.69,99,100,3.06,overcast clouds
321,Westport,US,41.1415,-73.3579,43.99,35,25,13.0,scattered clouds
322,Whitianga,NZ,-36.8333,175.7,69.03,66,74,12.06,broken clouds
323,Akyab,MM,20.15,92.9,68.9,40,3,8.84,clear sky
324,Cidreira,BR,-30.1811,-50.2056,78.13,77,0,9.37,clear sky
325,Kavieng,PG,-2.5744,150.7967,81.72,80,94,6.87,light rain
326,Salisbury,GB,51.0693,-1.7957,48.58,96,100,11.5,mist
327,San Luis Rio Colorado,MX,32.4631,-114.7767,88.61,10,9,18.54,clear sky
328,Vao,NC,-22.6667,167.4833,79.16,73,7,10.78,clear sky
329,Yar-Sale,RU,66.8333,70.8333,-14.44,95,94,14.94,overcast clouds
